ID;name;age;note;position;photo;club;drapeau;taille;poids;prix;rarete
48;R. Delap;36;63;CB;https://cdn.sofifa.com/players/002/837/14_120.png;https://cdn.sofifa.com/teams/15015/60.png;https://cdn.sofifa.com/flags/ie.png;"6'0""";165lbs;35000;Argent
49;S. Petrov;32;76;CM;https://cdn.sofifa.com/players/002/956/13_120.png;https://cdn.sofifa.com/teams/2/60.png;https://cdn.sofifa.com/flags/bg.png;"5'11""";170lbs;2200000;Or
50;Tarantini;36;72;CM;https://cdn.sofifa.com/players/003/281/20_120.png;https://cdn.sofifa.com/teams/744/60.png;https://cdn.sofifa.com/flags/pt.png;"6'2""";172lbs;975000;Argent
51;S. Wright-Phillips;34;68;CAM;https://cdn.sofifa.com/players/003/395/17_120.png;https://cdn.sofifa.com/teams/689/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'5""";141lbs;425000;Argent
52;Yuri;37;71;ST;https://cdn.sofifa.com/players/003/467/20_120.png;https://cdn.sofifa.com/teams/2023/60.png;https://cdn.sofifa.com/flags/br.png;"6'1""";172lbs;850000;Argent
53;J. O'Shea;37;66;CB;https://cdn.sofifa.com/players/003/484/19_120.png;https://cdn.sofifa.com/teams/1793/60.png;https://cdn.sofifa.com/flags/ie.png;"6'3""";185lbs;45000;Argent
54;Ricardo Carvalho;38;79;CB;https://cdn.sofifa.com/players/003/622/17_120.png;https://cdn.sofifa.com/teams/1354/60.png;https://cdn.sofifa.com/flags/pt.png;"6'0""";174lbs;1000000;Or
55;M. Ballack;34;80;CM;https://cdn.sofifa.com/players/003/647/12_120.png;https://cdn.sofifa.com/teams/32/60.png;https://cdn.sofifa.com/flags/de.png;"6'2""";194lbs;3200000;Or
56;Dida;39;75;GK;https://cdn.sofifa.com/players/003/712/14_120.png;https://cdn.sofifa.com/teams/1048/60.png;https://cdn.sofifa.com/flags/br.png;"6'5""";187lbs;1000000;Or
57;B. Schneider;34;80;CF;https://cdn.sofifa.com/players/003/922/09_120.png;https://cdn.sofifa.com/teams/32/60.png;https://cdn.sofifa.com/flags/de.png;"5'10""";179lbs;1000000;Or
58;Simão;33;74;CAM;https://cdn.sofifa.com/players/004/077/14_120.png;https://cdn.sofifa.com/teams/452/60.png;https://cdn.sofifa.com/flags/pt.png;"5'7""";141lbs;1200000;Argent
59;A. Radomski;34;63;CB;https://cdn.sofifa.com/players/004/114/12_120.png;https://cdn.sofifa.com/teams/110747/60.png;https://cdn.sofifa.com/flags/pl.png;"5'10""";170lbs;50000;Argent
60;G. Gattuso;34;78;CDM;https://cdn.sofifa.com/players/004/202/13_120.png;https://cdn.sofifa.com/teams/110770/60.png;https://cdn.sofifa.com/flags/it.png;"5'10""";170lbs;825000;Or
61;C. Reyna;33;76;CM;https://cdn.sofifa.com/players/004/233/08_120.png;https://cdn.sofifa.com/teams/689/60.png;https://cdn.sofifa.com/flags/us.png;"5'10""";157lbs;1000000;Or
62;Cafu;37;83;CF;https://cdn.sofifa.com/players/005/003/08_120.png;https://cdn.sofifa.com/teams/47/60.png;https://cdn.sofifa.com/flags/br.png;"5'9""";165lbs;1000000;Or
63;M. Oddo B;35;71;CM;https://cdn.sofifa.com/players/005/203/12_120.png;https://cdn.sofifa.com/teams/347/60.png;https://cdn.sofifa.com/flags/it.png;"6'0""";168lbs;130000;Argent
64;B. Mendy;31;63;CB;https://cdn.sofifa.com/players/005/231/14_120.png;https://cdn.sofifa.com/teams/378/60.png;https://cdn.sofifa.com/flags/fr.png;"5'11""";170lbs;120000;Argent
65;M. Owen;32;74;ST;https://cdn.sofifa.com/players/005/419/13_120.png;https://cdn.sofifa.com/teams/1806/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'8""";154lbs;1800000;Argent
66;M. Bagayoko;32;71;ST;https://cdn.sofifa.com/players/005/459/12_120.png;https://cdn.sofifa.com/teams/142/60.png;https://cdn.sofifa.com/flags/ml.png;"6'3""";176lbs;850000;Argent
67;J. Carragher;34;77;CB;https://cdn.sofifa.com/players/005/467/13_120.png;https://cdn.sofifa.com/teams/9/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";183lbs;825000;Or
68;F. Lampard;38;78;CM;https://cdn.sofifa.com/players/005/471/17_120.png;https://cdn.sofifa.com/teams/112828/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";196lbs;575000;Or
69;Casillas;38;79;GK;https://cdn.sofifa.com/players/005/479/20_120.png;https://cdn.sofifa.com/teams/236/60.png;https://cdn.sofifa.com/flags/es.png;"6'1""";185lbs;1300000;Or
70;Figo;35;78;CF;https://cdn.sofifa.com/players/005/589/09_120.png;https://cdn.sofifa.com/teams/44/60.png;https://cdn.sofifa.com/flags/pt.png;"5'11""";165lbs;1000000;Or
71;E. Davids;39;64;CDM;https://cdn.sofifa.com/players/005/672/13_120.png;https://cdn.sofifa.com/teams/135/60.png;https://cdn.sofifa.com/flags/nl.png;"5'7""";150lbs;1000;Argent
72;J. Litmanen;39;75;CAM;https://cdn.sofifa.com/players/005/673/11_120.png;https://cdn.sofifa.com/teams/1334/60.png;https://cdn.sofifa.com/flags/fi.png;"5'11""";176lbs;1000000;Or
73;P. Kluivert;30;81;ST;https://cdn.sofifa.com/players/005/680/08_120.png;https://cdn.sofifa.com/teams/65/60.png;https://cdn.sofifa.com/flags/nl.png;"6'2""";176lbs;1000000;Or
74;J. Stam;34;82;CB;https://cdn.sofifa.com/players/005/740/08_120.png;https://cdn.sofifa.com/teams/245/60.png;https://cdn.sofifa.com/flags/nl.png;"6'2""";190lbs;1000000;Or
75;E. Gudjohnsen;36;71;CF;https://cdn.sofifa.com/players/005/744/16_120.png;https://cdn.sofifa.com/teams/417/60.png;https://cdn.sofifa.com/flags/is.png;"6'1""";196lbs;190000;Argent
76;N. Anelka;34;77;ST;https://cdn.sofifa.com/players/005/809/14_120.png;https://cdn.sofifa.com/teams/109/60.png;https://cdn.sofifa.com/flags/fr.png;"6'1""";176lbs;2100000;Or
77;A. Gilardino;34;72;ST;https://cdn.sofifa.com/players/005/879/18_120.png;https://cdn.sofifa.com/teams/110741/60.png;https://cdn.sofifa.com/flags/it.png;"6'0""";174lbs;1600000;Argent
78;D. Trezeguet;35;74;ST;https://cdn.sofifa.com/players/005/984/14_120.png;https://cdn.sofifa.com/teams/110396/60.png;https://cdn.sofifa.com/flags/fr.png;"6'3""";176lbs;1100000;Argent
79;M. Jankulovski;33;72;LM;https://cdn.sofifa.com/players/006/083/11_120.png;https://cdn.sofifa.com/teams/47/60.png;https://cdn.sofifa.com/flags/cz.png;"6'0""";181lbs;1000000;Argent
80;P. Nedved;35;80;CF;https://cdn.sofifa.com/players/006/235/09_120.png;https://cdn.sofifa.com/teams/45/60.png;https://cdn.sofifa.com/flags/cz.png;"5'10""";154lbs;1000000;Or
81;G. Barry;38;70;CDM;https://cdn.sofifa.com/players/006/826/20_120.png;https://cdn.sofifa.com/teams/109/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";172lbs;375000;Argent
82;D. Stanković;33;78;CAM;https://cdn.sofifa.com/players/006/908/13_120.png;https://cdn.sofifa.com/teams/44/60.png;https://cdn.sofifa.com/flags/rs.png;"5'11""";165lbs;2700000;Or
83;F. Ljungberg;33;74;RM;https://cdn.sofifa.com/players/006/975/11_120.png;https://cdn.sofifa.com/teams/78/60.png;https://cdn.sofifa.com/flags/se.png;"5'9""";161lbs;1000000;Argent
84;K. Kaladze;33;76;CB;https://cdn.sofifa.com/players/007/142/12_120.png;https://cdn.sofifa.com/teams/110556/60.png;https://cdn.sofifa.com/flags/ge.png;"6'1""";168lbs;1200000;Or
85;R. Ferdinand;35;75;CB;https://cdn.sofifa.com/players/007/289/15_120.png;https://cdn.sofifa.com/teams/15/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'4""";190lbs;550000;Or
86;H. Crespo;35;76;ST;https://cdn.sofifa.com/players/007/512/12_120.png;https://cdn.sofifa.com/teams/50/60.png;https://cdn.sofifa.com/flags/ar.png;"6'0""";179lbs;1700000;Or
87;A. Cassano;33;76;CAM;https://cdn.sofifa.com/players/007/631/17_120.png;https://cdn.sofifa.com/teams/1837/60.png;https://cdn.sofifa.com/flags/it.png;"5'9""";176lbs;3400000;Or
88;L. Donovan;35;73;CAM;https://cdn.sofifa.com/players/007/743/18_120.png;https://cdn.sofifa.com/teams/110781/60.png;https://cdn.sofifa.com/flags/us.png;"5'8""";154lbs;1800000;Argent
89;A. Pirlo;38;77;CM;https://cdn.sofifa.com/players/007/763/18_120.png;https://cdn.sofifa.com/teams/112828/60.png;https://cdn.sofifa.com/flags/it.png;"5'10""";150lbs;2200000;Or
90;R. van Persie;34;78;CAM;https://cdn.sofifa.com/players/007/826/19_120.png;https://cdn.sofifa.com/teams/246/60.png;https://cdn.sofifa.com/flags/nl.png;"6'2""";157lbs;5500000;Or
91;D. Rommedahl;34;65;CAM;https://cdn.sofifa.com/players/008/040/14_120.png;https://cdn.sofifa.com/teams/1905/60.png;https://cdn.sofifa.com/flags/dk.png;"5'10""";165lbs;150000;Argent
92;G. Heinze;35;74;CB;https://cdn.sofifa.com/players/008/222/14_120.png;https://cdn.sofifa.com/teams/110396/60.png;https://cdn.sofifa.com/flags/ar.png;"5'10""";159lbs;300000;Argent
93;T. Rosický;36;79;CAM;https://cdn.sofifa.com/players/008/473/18_120.png;https://cdn.sofifa.com/teams/267/60.png;https://cdn.sofifa.com/flags/cz.png;"5'10""";159lbs;4200000;Or
94;S. Parker;35;72;CDM;https://cdn.sofifa.com/players/008/517/17_120.png;https://cdn.sofifa.com/teams/144/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'9""";152lbs;350000;Argent
95;O. Daf;35;64;CB;https://cdn.sofifa.com/players/008/753/13_120.png;https://cdn.sofifa.com/teams/226/60.png;https://cdn.sofifa.com/flags/sn.png;"5'10""";157lbs;45000;Argent
96;M. Viduka;33;74;ST;https://cdn.sofifa.com/players/008/772/10_120.png;;https://cdn.sofifa.com/flags/au.png;"6'2""";198lbs;1000000;Argent
97;L. Scaloni;36;65;CB;https://cdn.sofifa.com/players/008/842/15_120.png;https://cdn.sofifa.com/teams/39/60.png;https://cdn.sofifa.com/flags/ar.png;"6'0""";176lbs;1000000;Argent
98;Manuel Pablo;39;67;CDM;https://cdn.sofifa.com/players/008/963/16_120.png;https://cdn.sofifa.com/teams/242/60.png;https://cdn.sofifa.com/flags/es.png;"5'9""";176lbs;1000000;Argent
99;A. Robben;36;80;CAM;https://cdn.sofifa.com/players/009/014/20_120.png;https://cdn.sofifa.com/teams/1915/60.png;https://cdn.sofifa.com/flags/nl.png;"5'11""";176lbs;5000000;Or
100;Y. Benayoun;33;76;CAM;https://cdn.sofifa.com/players/009/432/14_120.png;https://cdn.sofifa.com/teams/15/60.png;https://cdn.sofifa.com/flags/il.png;"5'10""";154lbs;1900000;Or
101;S. Eto'o;36;81;ST;https://cdn.sofifa.com/players/009/676/18_120.png;https://cdn.sofifa.com/teams/101033/60.png;https://cdn.sofifa.com/flags/cm.png;"5'10""";165lbs;6500000;Or
102;C. Bellamy;33;73;CAM;https://cdn.sofifa.com/players/009/805/14_120.png;https://cdn.sofifa.com/teams/1961/60.png;https://cdn.sofifa.com/flags/gb-wls.png;"5'9""";152lbs;875000;Argent
103;R. van Nistelrooy;34;77;ST;https://cdn.sofifa.com/players/010/264/12_120.png;https://cdn.sofifa.com/teams/573/60.png;https://cdn.sofifa.com/flags/nl.png;"6'2""";176lbs;2100000;Or
104;Xavi;34;86;CAM;https://cdn.sofifa.com/players/010/535/15_120.png;https://cdn.sofifa.com/teams/241/60.png;https://cdn.sofifa.com/flags/es.png;"5'7""";148lbs;15500000;Or
105;M. Heinz;31;64;CF;https://cdn.sofifa.com/players/010/651/10_120.png;https://cdn.sofifa.com/teams/15011/60.png;https://cdn.sofifa.com/flags/cz.png;"6'2""";181lbs;1000000;Argent
106;C. Porter;36;63;ST;https://cdn.sofifa.com/players/010/899/20_120.png;https://cdn.sofifa.com/teams/121/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";183lbs;130000;Argent
107;T. Dellas;35;72;CB;https://cdn.sofifa.com/players/011/044/12_120.png;https://cdn.sofifa.com/teams/278/60.png;https://cdn.sofifa.com/flags/gr.png;"6'6""";205lbs;210000;Argent
108;G. Asamoah;33;66;ST;https://cdn.sofifa.com/players/011/125/13_120.png;https://cdn.sofifa.com/teams/165/60.png;https://cdn.sofifa.com/flags/de.png;"5'11""";187lbs;325000;Argent
109;M. Klose;37;79;ST;https://cdn.sofifa.com/players/011/141/16_120.png;https://cdn.sofifa.com/teams/46/60.png;https://cdn.sofifa.com/flags/de.png;"6'0""";185lbs;1300000;Or
110;M. Gilks;38;64;GK;https://cdn.sofifa.com/players/011/381/20_120.png;https://cdn.sofifa.com/teams/4/60.png;https://cdn.sofifa.com/flags/gb-sct.png;"6'1""";179lbs;45000;Argent
111;A. Stansfield;30;57;ST;https://cdn.sofifa.com/players/011/795/10_120.png;https://cdn.sofifa.com/teams/143/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";170lbs;1000000;Bronze
112;C. Lupatelli;36;68;GK;https://cdn.sofifa.com/players/012/011/15_120.png;https://cdn.sofifa.com/teams/110374/60.png;https://cdn.sofifa.com/flags/it.png;"6'2""";185lbs;450000;Argent
113;S. Keita;35;76;CB;https://cdn.sofifa.com/players/012/259/16_120.png;https://cdn.sofifa.com/teams/52/60.png;https://cdn.sofifa.com/flags/ml.png;"6'0""";165lbs;900000;Or
114;O. Hargreaves   B;30;78;CDM;https://cdn.sofifa.com/players/012/265/12_120.png;https://cdn.sofifa.com/teams/10/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";161lbs;3000000;Or
115;J. Riise;34;72;CDM;https://cdn.sofifa.com/players/012/445/16_120.png;https://cdn.sofifa.com/teams/1755/60.png;https://cdn.sofifa.com/flags/no.png;"6'2""";181lbs;1000000;Argent
116;A. Friedrich;33;74;CB;https://cdn.sofifa.com/players/012/695/13_120.png;https://cdn.sofifa.com/teams/693/60.png;https://cdn.sofifa.com/flags/de.png;"6'1""";181lbs;775000;Argent
117;Puyol;35;83;CB;https://cdn.sofifa.com/players/013/038/14_120.png;https://cdn.sofifa.com/teams/241/60.png;https://cdn.sofifa.com/flags/es.png;"5'10""";176lbs;1300000;Or
118;A. Shevchenko;32;77;ST;https://cdn.sofifa.com/players/013/128/10_120.png;https://cdn.sofifa.com/teams/1366/60.png;https://cdn.sofifa.com/flags/ua.png;"6'0""";159lbs;1000000;Or
119;W. Brown;36;66;CB;https://cdn.sofifa.com/players/013/130/17_120.png;https://cdn.sofifa.com/teams/3/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";170lbs;1000000;Argent
120;J. Terry;36;76;CB;https://cdn.sofifa.com/players/013/732/18_120.png;https://cdn.sofifa.com/teams/2/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'2""";198lbs;1000000;Or
121;A. Smith;36;61;CB;https://cdn.sofifa.com/players/013/739/18_120.png;https://cdn.sofifa.com/teams/1937/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";179lbs;80000;Argent
122;S. Gerrard;36;81;CM;https://cdn.sofifa.com/players/013/743/17_120.png;https://cdn.sofifa.com/teams/697/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";183lbs;1400000;Or
123;Sun Jihai;31;64;CF;https://cdn.sofifa.com/players/013/850/10_120.png;https://cdn.sofifa.com/teams/1413/60.png;https://cdn.sofifa.com/flags/cn.png;"5'11""";148lbs;1000000;Argent
124;P. Robinson;36;69;GK;https://cdn.sofifa.com/players/013/914/17_120.png;https://cdn.sofifa.com/teams/1796/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'4""";198lbs;450000;Argent
125;J. Koller;36;78;ST;https://cdn.sofifa.com/players/013/940/10_120.png;;https://cdn.sofifa.com/flags/cz.png;"6'8""";234lbs;1000000;Or
126;J. Ángel;38;68;ST;https://cdn.sofifa.com/players/014/916/15_120.png;https://cdn.sofifa.com/teams/101100/60.png;https://cdn.sofifa.com/flags/co.png;"6'1""";181lbs;100000;Argent
127;D. Kuyt;35;75;ST;https://cdn.sofifa.com/players/015/723/17_120.png;https://cdn.sofifa.com/teams/246/60.png;https://cdn.sofifa.com/flags/nl.png;"6'0""";185lbs;1500000;Or
128;T. Howard;40;71;GK;https://cdn.sofifa.com/players/016/254/20_120.png;https://cdn.sofifa.com/teams/694/60.png;https://cdn.sofifa.com/flags/us.png;"6'3""";194lbs;240000;Argent
129;D. Van Buyten;35;78;CB;https://cdn.sofifa.com/players/016/897/14_120.png;https://cdn.sofifa.com/teams/21/60.png;https://cdn.sofifa.com/flags/be.png;"6'6""";209lbs;650000;Or
130;T. Sanneh;38;62;CB;https://cdn.sofifa.com/players/017/209/10_120.png;;https://cdn.sofifa.com/flags/us.png;"6'2""";190lbs;1000000;Argent
131;N. Penneteau;39;73;GK;https://cdn.sofifa.com/players/018/122/20_120.png;https://cdn.sofifa.com/teams/670/60.png;https://cdn.sofifa.com/flags/fr.png;"6'1""";172lbs;400000;Argent
132;J. Collins;34;72;CB;https://cdn.sofifa.com/players/019/292/19_120.png;https://cdn.sofifa.com/teams/94/60.png;https://cdn.sofifa.com/flags/gb-wls.png;"6'2""";183lbs;950000;Argent
133;J. Ibehre;36;58;ST;https://cdn.sofifa.com/players/019/521/20_120.png;https://cdn.sofifa.com/teams/1944/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'4""";203lbs;45000;Bronze
134;Valerón;40;74;CAM;https://cdn.sofifa.com/players/019/896/16_120.png;https://cdn.sofifa.com/teams/472/60.png;https://cdn.sofifa.com/flags/es.png;"6'1""";168lbs;1000000;Argent
